#scientific name	type materials and coidentical strains	has sequences from type material?	number of assemblies per taxon	number of assemblies from type materials per taxon	number of assemblies from type materials per species
Streptomyces roseolilacinus	ATCC 19806,ATCC 19922,ATCC:19806,ATCC:19922,BCRC 12329,BCRC:12329,CBS 558.68,CBS:558.68,CCRC 12329,CCRC:12329,DSM 40173,DSM:40173,IFO 12815,IFO:12815,INA 14250,INA:14250,ISP 5173,ISP:5173,JCM 4335,JCM 4606,JCM:4335,JCM:4606,NBRC 12815,NBRC:12815,NRRL B-2699,NRRL-ISP 5173,NRRL-ISP:5173,NRRL:B-2699,RIA 1085,RIA:1085,UNIQEM 192,UNIQEM:192,VKM Ac-1276,VKM:Ac:1276,culture-collection:NRRL:B:2699	yes	1	1	1
Streptomyces roseolus	ATCC 23210,ATCC:23210,BCRC 13778,BCRC:13778,CBS 559.68,CBS:559.68,CCRC 13778,CCRC:13778,DSM 40174,DSM:40174,IFO 12816,IFO:12816,INA 5449/54,INA:5449/54,ISP 5174,ISP:5174,JCM 4411,JCM:4411,NBRC 12816,NBRC:12816,NCIMB 13022,NCIMB:13022,NRRL B-5424,NRRL-ISP 5174,NRRL-ISP:5174,NRRL:B-5424,RIA 1086,RIA:1086,UNIQEM 193,UNIQEM:193,VKM Ac-848,VKM:Ac:848,culture-collection:NRRL:B:5424	yes	1	1	1
Streptomyces roseoverticillatus	ATCC 19807,ATCC 23615 [[Streptomyces biverticillatus (Preobrazhenskaya 1957) Witt and Stackebrandt 1991]],ATCC 23654 [[Streptomyces baldaccii]],ATCC 27429 [[Streptomyces fervens (de Boer et al. 1960) Witt and Stackebrandt 1991]],ATCC 51269 [[Streptomyces spitsbergensis]],ATCC:19807,ATCC:23615 [[Streptomyces biverticillatus (Preobrazhenskaya 1957) Witt and Stackebrandt 1991]],ATCC:23654 [[Streptomyces baldaccii]],ATCC:27429 [[Streptomyces fervens (de Boer et al. 1960) Witt and Stackebrandt 1991]],ATCC:51269 [[Streptomyces spitsbergensis]],CBS 560.68,CBS 644.72 [[Streptomyces fervens (de Boer et al. 1960) Witt and Stackebrandt 1991]],CBS 668.68 [[Streptomyces biverticillatus (Preobrazhenskaya 1957) Witt and Stackebrandt 1991]],CBS:560.68,CBS:644.72 [[Streptomyces fervens (de Boer et al. 1960) Witt and Stackebrandt 1991]],CBS:668.68 [[Streptomyces biverticillatus (Preobrazhenskaya 1957) Witt and Stackebrandt 1991]],CECT 3269,CECT:3269,DSM 40039,DSM 40086 [[Streptomyces fervens (de Boer et al. 1960) Witt and Stackebrandt 1991]],DSM:40039,DSM:40086 [[Streptomyces fervens (de Boer et al. 1960) Witt and Stackebrandt 1991]],IFO 12817,IFO 12845 [[Streptomyces biverticillatus (Preobrazhenskaya 1957) Witt and Stackebrandt 1991]],IFO 13343 [[Streptomyces fervens (de Boer et al. 1960) Witt and Stackebrandt 1991]],IFO 14693 [[Streptomyces baldaccii]],IFO 15745 [[Streptomyces spitsbergensis]],IFO 3844,IFO:12817,IFO:12845 [[Streptomyces biverticillatus (Preobrazhenskaya 1957) Witt and Stackebrandt 1991]],IFO:13343 [[Streptomyces fervens (de Boer et al. 1960) Witt and Stackebrandt 1991]],IFO:14693 [[Streptomyces baldaccii]],IFO:15745 [[Streptomyces spitsbergensis]],IFO:3844,ISP 5039,ISP:5039,JCM 4103,JCM 4272 [[Streptomyces baldaccii]],JCM 4310 [[Streptomyces fervens (de Boer et al. 1960) Witt and Stackebrandt 1991]],JCM 4431 [[Streptomyces biverticillatus (Preobrazhenskaya 1957) Witt and Stackebrandt 1991]],JCM 4607,JCM 4750 [[Streptomyces fervens (de Boer et al. 1960) Witt and Stackebrandt 1991]],JCM 8881 [[Streptomyces spitsbergensis]],JCM:4103,JCM:4272 [[Streptomyces baldaccii]],JCM:4310 [[Streptomyces fervens (de Boer et al. 1960) Witt and Stackebrandt 1991]],JCM:4431 [[Streptomyces biverticillatus (Preobrazhenskaya 1957) Witt and Stackebrandt 1991]],JCM:4607,JCM:4750 [[Streptomyces fervens (de Boer et al. 1960) Witt and Stackebrandt 1991]],JCM:8881 [[Streptomyces spitsbergensis]],LGM 20433 [[Streptomyces biverticillatus (Preobrazhenskaya 1957) Witt and Stackebrandt 1991]],LGM:20433 [[Streptomyces biverticillatus (Preobrazhenskaya 1957) Witt and Stackebrandt 1991]],NBRC 12817,NBRC 14693 [[Streptomyces baldaccii]],NBRC 15745 [[Streptomyces spitsbergensis]],NBRC 3844,NBRC:12817,NBRC:14693 [[Streptomyces baldaccii]],NBRC:15745 [[Streptomyces spitsbergensis]],NBRC:3844,NRRL 2755 [[Streptomyces fervens (de Boer et al. 1960) Witt and Stackebrandt 1991]],NRRL B-1993,NRRL B-24285 [[Streptomyces spitsbergensis]],NRRL B-3500 [[Streptomyces baldaccii]],NRRL ISP-5272 [[Streptomyces biverticillatus (Preobrazhenskaya 1957) Witt and Stackebrandt 1991]],NRRL-ISP 5039,NRRL-ISP:5039,NRRL:2755 [[Streptomyces fervens (de Boer et al. 1960) Witt and Stackebrandt 1991]],NRRL:B-1993,NRRL:B-24285 [[Streptomyces spitsbergensis]],NRRL:B-3500 [[Streptomyces baldaccii]],NRRL:B:1993,NRRL:B:24285 [[Streptomyces spitsbergensis]],NRRL:B:3500 [[Streptomyces baldaccii]],NRRL:ISP-5039,NRRL:ISP-5272 [[Streptomyces biverticillatus (Preobrazhenskaya 1957) Witt and Stackebrandt 1991]],PCM 2248,PCM 2404 [[Streptomyces spitsbergensis]],PCM:2248,PCM:2404 [[Streptomyces spitsbergensis]],PCM&lt;POL&gt;:2404 [[Streptomyces spitsbergensis]],RIA 1087,RIA 552,RIA:1087,RIA:552,UNIQEM 194,UNIQEM:194,VKM Ac-880,VKM:Ac 880,VKM:Ac:880	yes	1	1	1
Streptomyces roseoverticillatus subsp. melrosporus	DSM 40905,DSM:40905,IFO 15920,IFO:15920,JCM 4926,JCM:4926,NBRC 15920,NBRC:15920,NRRL 3117,NRRL:3117	yes	0	0	1
Streptomyces roseoviolaceus	1020/54,ATCC 25493,ATCC:25493,CBS 953.69,CBS:953.69,IFO 13081,IFO:13081,ISP 5277,ISP:5277,JCM 4513,JCM:4513,KCC S-0513,KCC:S:0513,NBRC 13081,NBRC:13081,NRRL B-12177,NRRL-ISP 5277,NRRL-ISP:5277,NRRL:B-12177,RIA 1273,RIA:1273,culture-collection:NRRL:B:12177	yes	1	0	0
Streptomyces roseoviridis	ATCC 23959,ATCC:23959,BCRC 13779,BCRC:13779,CBS 942.68,CBS:942.68,CCRC 13779,CCRC:13779,DSM 40175,DSM:40175,IFO 12911,IFO:12911,INA 3617,INA:3617,ISP 5175,ISP:5175,JCM 4414,JCM:4414,NBRC 12911,NBRC:12911,NCIMB 13012,NCIMB:13012,NRRL B-2730,NRRL-ISP 5175,NRRL-ISP:5175,NRRL:B-2730,RIA 1135,RIA:1135,VKM Ac-943,VKM:Ac:943,culture-collection:NRRL:B:2730	yes	0	0	0
Streptomyces roseus	na	no	1	0	0
Streptomyces ruanii	DSM 40276,DSM:40276,ISP 5276,ISP:5276	yes	0	0	0
Streptomyces rubellomurinus	5818,ATCC 31215,ATCC:31215	yes	1	1	1
Streptomyces rubellomurinus subsp. indigoferus	24,ATCC 31304,ATCC:31304	yes	1	0	1
Streptomyces ruber	ATCC 17754,ATCC:17754,BCRC 12358,BCRC:12358,CBS 228.65,CBS:228.65,CCRC 12358,CCRC:12358,CMI 112789,CMI:112789,DSM 40304,DSM:40304,IFO 14600,IFO:14600,IMI:112789,ISP 5304,ISP:5304,JCM 3131,JCM:3131,KCC A-0131,KCC:A:0131,NBRC 14600,NBRC:14600,NCIB 10983,NCIB:10983,NCIMB 10983,NCIMB:10983,NRRL B-5315,NRRL-ISP 5304,NRRL-ISP:5304,NRRL:B-5315,culture-collection:NRRL:B:5315	yes	3	1	1
Streptomyces rubidus	13c15,CGMCC 4.2026,CGMCC:4.2026,JCM 13277,JCM:13277,NBRC 102073,NBRC:102073	yes	2	1	1
Streptomyces rubiginosohelvolus	ATCC 19926,ATCC 23960,ATCC:19926,ATCC:23960,BCRC 13780,BCRC:13780,CBS 943.68,CBS:943.68,CCRC 13780,CCRC:13780,DSM 40176,DSM:40176,IFO 12912,IFO:12912,INA 10/53,INA:10/53,ISP 5176,ISP:5176,JCM 4415,JCM:4415,NBRC 12912,NBRC:12912,NRRL B-5425,NRRL-ISP 5176,NRRL-ISP:5176,NRRL:B-5425,RIA 1136,RIA:1136,VKM Ac-1072,VKM:Ac:1072,culture-collection:NRRL:B:5425	yes	1	1	1
Streptomyces rubiginosus	ATCC 19927,ATCC 23961,ATCC:19927,ATCC:23961,CBS 944.68,CBS:944.68,DSM 40177,DSM:40177,IFO 12913,IFO:12913,INA 11852,INA:11852,ISP 5177,ISP:5177,JCM 4416,JCM:4416,KCTC 9042,KCTC:9042,NBRC 12913,NBRC:12913,NRRL B-3983,NRRL-ISP 5177,NRRL-ISP:5177,NRRL:B-3983,RIA 1137,RIA:1137,VKM Ac-1089,VKM:Ac:1089,culture-collection:NRRL:B:3983	yes	1	1	1
Streptomyces rubrisoli	CGMCC 4.7025,CGMCC:4.7025,DSM 42083,DSM:42083,FXJ1.725	yes	0	0	0
Streptomyces rubrogriseus	ATCC 43691,ATCC:43691,BCCM/LMG:20318,DSM 41477,DSM:41477,IFO 15455,IFO:15455,INA 2626,INA:2626,JCM 6927,JCM:6927,LMG 20318,LMG:20318,NBRC 15455,NBRC:15455,VKM Ac-1216,VKM:Ac:1216	yes	2	1	1
Streptomyces rubrolavendulae	na	no	1	0	0
Streptomyces rubrus	DSM 42030,DSM:42030,NBRC 105046,NBRC:105046,Sp080513KE-34	yes	0	0	0
Streptomyces rutgersensis	ATCC 19809,ATCC 3350,ATCC:19809,ATCC:3350,BCRC 13670,BCRC 13701,BCRC:13670,BCRC:13701,CBS 562.68,CBS:562.68,CCRC 13670,CCRC 13701,CCRC:13670,CCRC:13701,DSM 40077,DSM:40077,HAMBI 1038,HAMBI:1038,HUT 6069,HUT:6069,IFM 1033,IFM:1033,IFO 12819,IFO 3419,IFO 3727,IFO:12819,IFO:3419,IFO:3727,IMET 43501,IMET:43501,ISP 5077,ISP:5077,JCM 4082,JCM 4608,JCM:4082,JCM:4608,NBRC 12819,NBRC 3419,NBRC 3727,NBRC:12819,NBRC:3419,NBRC:3727,NRRL B-1256,NRRL B-2102,NRRL-ISP 5077,NRRL-ISP:5077,NRRL:B-1256,NRRL:B-2102,RIA 1089,RIA 410,RIA:1089,RIA:410,UNIQEM 196,UNIQEM:196,VKM Ac-1877,VKM:Ac:1877,culture-collection:NRRL:B:1256,culture-collection:NRRL:B:2102	yes	2	1	1
Streptomyces salilacus	CCTCC AA 2015030,CCTCC:AA 2015030,CCTCC:AA:2015030,KCTC 39726,KCTC:39726,TRM 41337	yes	0	0	0
Streptomyces salmonis	BCRC,BCRC:12456,CCRC 12456,CCRC:12456,DSM 40895,DSM:40895,HUT 6085,HUT:6085,IFO 15865,IFO:15865,JCM 4083,JCM:4083,NBRC 15865,NBRC:15865,NRRL B-1472,NRRL:B-1472,VKM Ac-944,VKM:Ac:944,culture-collection:NRRL:B:1472	yes	0	0	0
Streptomyces sampsonii	ATCC 25495,ATCC:25495,BCRC 13705,BCRC:13705,CBS 955.69,CBS:955.69,CCRC 13705,CCRC:13705,DSM 40394,DSM:40394,IFO 13083,IFO:13083,ISP 5394,ISP:5394,JCM 4515,JCM:4515,NBRC 13083,NBRC:13083,NRRL B-12325,NRRL-ISP 5394,NRRL-ISP:5394,NRRL:B-12325,RIA 1275,RIA:1275,VKM Ac-851,VKM:Ac:851,culture-collection:NRRL:B:12325	yes	2	0	0
Streptomyces samsunensis	DSM 42010,DSM:42010,M1463,NRRL B-24803,NRRL:B-24803,culture-collection:NRRL:B:24803	yes	1	0	0
Streptomyces sanglieri	A46R51,DSM 41791,DSM:41791,JCM 12607,JCM:12607,NBRC 100784,NBRC:100784,NCIMB 13929,NCIMB:13929	yes	0	0	0
Streptomyces sannanensis	ATCC 31530,ATCC:31530,DSM 41705,DSM:41705,IFO 14239,IFO:14239,JCM 9651,JCM:9651,KC-7038,KCTC 9770,KCTC:9770,NBRC 14239,NBRC:14239	yes	0	0	0
Streptomyces sanyensis	219820,CGMCC 4.5626,CGMCC:4.5626,DSM 42014,DSM:42014	yes	0	0	0
Streptomyces sapporonensis	ATCC 21532,ATCC:21532,BCCM/LMG:20324,DSM 41675,DSM:41675,IFO 13823,IFO:13823,JCM 4934,JCM:4934,LMG 20324,LMG:20324,NBRC 13823,NBRC:13823	yes	0	0	0
Streptomyces sasae	JR-39,KACC 17182,KACC:17182,NBRC 109809,NBRC:109809	yes	0	0	0
Streptomyces scabiei	ATCC 49173,ATCC:49173,CIP 105438,CIP:105438,DSM 41658,DSM:41658,ICMP 12542,ICMP:12542,JCM 7914,JCM:7914,RL-34	yes	18	0	0
Streptomyces sclerotialus	ATCC 15721,ATCC:15721,BCRC 13307,BCRC:13307,CBS 167.62,CBS:167.62,CCRC 13307,CCRC:13307,DSM 43032,DSM:43032,IFM 1141,IFM:1141,IFO 12246,IFO 13356,IFO 13904,IFO:12246,IFO:13356,IFO:13904,ISP 5269,ISP:5269,JCM 3039,JCM 4828,JCM:3039,JCM:4828,KCTC 9065,KCTC:9065,NBRC 12246,NBRC 13356,NBRC 13904,NBRC:12246,NBRC:13356,NBRC:13904,NRRL B-2317,NRRL-ISP 5269,NRRL-ISP:5269,NRRL:B-2317,RIA 1317,RIA:1317,VKM Ac-1909,VKM:Ac:1909,culture-collection:NRRL:B:2317	yes	2	0	0
Streptomyces scopiformis	A25,AS 4.1331,BCCM/LMG:20251,CGMCC:4.1331,DSM 41825,DSM:41825,JCM 12114,JCM:12114,LMG 20251,LMG:20251,NBRC 100244,NBRC:100244,culture-collection:AS:4.1331	yes	0	0	0
Streptomyces scopuliridis	DSM 41917,DSM:41917,NRRL B-24574,NRRL:B-24574,RB72,culture-collection:NRRL:B:24574	yes	2	2	2
Streptomyces sedi	CCTCC AA 208020,CCTCC:AA 208020,DSM 41942,DSM:41942,JCM 16909,JCM:16909,YIM 65188,YIM:65188,culture-collection:CCTCC:AA:208020	yes	1	1	1
Streptomyces sediminis	DSM 100692,DSM:100692,KCTC 39613,KCTC:39613,MKSP12	yes	0	0	0
Streptomyces seoulensis	CIP 105312,CIP:105312,IFO 16255,IFO 16668,IFO:16255,IFO:16668,IMSNU 21266,IMSNU-1,IMSNU:21266,JCM 10116,JCM:10116,NBRC 16255,NBRC 16668,NBRC:16255,NBRC:16668	yes	3	0	0
Streptomyces septatus	ATCC 27464,ATCC:27464,BCRC 11895,BCRC:11895,CBS 772.72,CBS:772.72,CCRC 11895,CCRC:11895,CECT 3251,CECT:3251,DSM 40577,DSM:40577,IFO 13471,IFO:13471,ISP 5577,ISP:5577,JCM 4547,JCM 4829,JCM:4547,JCM:4829,NBRC 13471,NBRC:13471,NCIMB 12982,NCIMB:12982,NRRL 2974,NRRL-ISP 5577,NRRL-ISP:5577,NRRL:2974,RIA 1432,RIA:1432,VKM Ac-888,VKM:Ac:888	yes	0	0	0
Streptomyces septentrionalis	CCTCC AA 2018011,CCTCC:AA2018011,DSM 107266,DSM:107266,ZLN712	yes	0	0	0
Streptomyces seranimatus	CCTCC AA 206006,CCTCC:AA 206006,DSM 41883,DSM:41883,YIM 45720,YIM:45720,culture-collection:CCTCC:AA:206006	yes	0	0	0
Streptomyces seymenliensis	B1041,DSM 42117,DSM:42117,KCTC 29245,KCTC:29245	yes	0	0	0
Streptomyces shaanxiensis	ACCC 41873,ACCC:41873,CCNWHQ 0031,CCNWTJ 0031,CCNWTJ:0031,JCM 16925,JCM:16925	yes	0	0	0
Streptomyces shenzhenensis	172115,CCTCC AA 2011001,CCTCC:AA 2011001,DSM 42034,DSM:42034,culture-collection:CCTCC:AA:2011001	yes	1	0	0
Streptomyces showdoensis	ATCC 15105,ATCC:15105,BCRC 11868,BCRC:11868,CBS 718.72,CBS:718.72,CCRC 11868,CCRC:11868,DSM 40504,DSM:40504,IFO 13417,IFO:13417,ISP 5504,ISP:5504,JCM 4830,JCM:4830,NBRC 13417,NBRC:13417,NRRL B-12430,NRRL-ISP 5504,NRRL-ISP:5504,NRRL:B-12430,RIA 1378,RIA:1378,VKM Ac-1219,VKM:Ac:1219,culture-collection:NRRL:B:12430	yes	1	0	0
Streptomyces siamensis	KC-038,NBRC 108799,NBRC:108799,PCU 328,PCU:328,PCU&lt;THA&gt;:328,TISTR 2107,TISTR:2107	yes	0	0	0
Streptomyces silaceus	DSM 41861,DSM:41861,LDDC 6638-99,LDDC:6638-99,NRRL B-24166,NRRL:B-24166,culture-collection:NRRL:B:24166	yes	1	1	1
Streptomyces silvensis	na	no	1	0	0
Streptomyces similanensis	KC-106,NBRC 108798,NBRC:108798,PCU 329,PCU:329,PCU&lt;THA&gt;:329,TISTR 2104,TISTR:2104	yes	0	0	0
Streptomyces sindenensis	AS 4.0626,ATCC 23963,ATCC:23963,BCRC 11887,BCRC:11887,CBS 946.68,CBS:946.68,CCRC 11887,CCRC:11887,CGMCC:4.0626,DSM 40255,DSM:40255,IFO 12915,IFO 3399,IFO:12915,IFO:3399,ISP 5255,ISP:5255,JCM 4164,JCM 4669,JCM:4164,JCM:4669,NBRC 12915,NBRC 3399,NBRC:12915,NBRC:3399,NRRL B-1866,NRRL-ISP 5255,NRRL-ISP:5255,NRRL:B-1866,RIA 1181,RIA:1181,culture-collection:AS:4.0626,culture-collection:NRRL:B:1866	yes	1	1	1
Streptomyces sioyaensis	ATCC 13989,ATCC 19810,ATCC:13989,ATCC:19810,BCRC 11878,BCRC:11878,CBS 563.68,CBS:563.68,CCRC 11878,CCRC:11878,DSM 40032,DSM:40032,IFO 12820,IFO:12820,ISP 5032,ISP:5032,JCM 4418,JCM:4418,KCTC 9043,KCTC:9043,NBRC 12820,NBRC:12820,NRRL B-5408,NRRL-ISP 5032,NRRL-ISP:5032,NRRL:B-5408,RIA 1090,RIA:1090,UNIQEM 197,UNIQEM:197,VKM Ac-1260,VKM:Ac:1260,culture-collection:NRRL:B:5408	yes	1	1	1
Streptomyces smyrnaeus	DSM 42105,DSM:42105,KCTC 29214,KCTC:29214,SM3501	yes	0	0	0
Streptomyces sodiiphilus	CCTCC AA 203015,CCTCC:AA 203015,CIP 107975,CIP:107975,JCM 13581,JCM:13581,YIM 80305,YIM:80305,culture-collection:CCTCC:AA:203015	yes	0	0	0
Streptomyces solisilvae	CCTCC AA 2016045,CCTCC:AA 2016045,HNM0141,KCTC 39905,KCTC:39905,culture-collection:CCTCC:AA:2016045	yes	0	0	0
Streptomyces somaliensis	ATCC 33201,ATCC:33201,CIP 733,CIP:733,DSM 40738,DSM:40738,IMRU 1274,IMRU:1274,JCM 12659,JCM:12659,NCTC 11332,NCTC:11332	yes	2	2	2
Streptomyces songpinggouensis	CGMCC 4.7140,CGMCC:4.7140,DSM 42141,DSM:42141,NEAU-Spg19,NEAU-spg19	yes	0	0	0
Streptomyces sparsogenes	ATCC 25498,ATCC:25498,BCCM/LMG:5985,BCRC 12085,BCRC:12085,CBS 672.69,CBS 958.69,CBS:672.69,CBS:958.69,CCRC 12085,CCRC:12085,DSM 40356,DSM:40356,IFO 13086,IFO:13086,ISP 5356,ISP:5356,JCM 4517,JCM:4517,LMG 5985,LMG:5985,NBRC 13086,NBRC:13086,NCIMB 9449,NCIMB:9449,NRRL 2940,NRRL-ISP 5356,NRRL-ISP:5356,NRRL:2940,RIA 1278,RIA:1278,VKM Ac-1744,VKM:Ac:1744	yes	2	2	2
Streptomyces sparsus	CCTCC:AA204019,DSM 41858,DSM:41858,YIM 90018,YIM:90018,culture-collection:CCTCC AA204019	yes	0	0	0
Streptomyces specialis	CCM 7499,CCM:7499,DSM 41924,DSM:41924,GW 41-1564,GW41-1564,JCM 16611,JCM:16611	yes	1	1	1
Streptomyces spectabilis	ATCC 27465,ATCC:27465,BCCM/LMG:5986,BCRC 12648,BCRC:12648,CBS 725.72,CBS:725.72,CCRC 12648,CCRC:12648,CECT 3146,CECT:3146,DSM 40512,DSM:40512,IFO 13424,IFO 15441,IFO:13424,IFO:15441,ISP 5512,ISP:5512,JCM 4308,JCM 4832,JCM:4308,JCM:4832,KCTC 9218,KCTC:9218,LMG 5986,LMG:5986,NBRC 13424,NBRC 15441,NBRC:13424,NBRC:15441,NCIMB 9733,NCIMB:9733,NRRL 2494,NRRL-ISP 5512,NRRL-ISP:5512,NRRL:2494,RIA 1385,RIA:1385	yes	4	3	3
Streptomyces speibonae	ATCC BAA-411,ATCC:BAA-411,CIP 108060,CIP:108060,DSM 41797,DSM:41797,JCM 12682,JCM:12682,KCTC 9973,KCTC:9973,NBRC 101001,NBRC:101001,NRRL B-24240,NRRL:B-24240,PK-Blue,culture-collection:ATCC:BAA:411,culture-collection:NRRL:B:24240	yes	1	0	0
Streptomyces spinoverrucosus	ATCC 33692,ATCC:33692,DSM 41648,DSM:41648,Diab 163MA,IFO 14228,IFO 14250,IFO:14228,IFO:14250,JCM 5077,JCM:5077,NBRC 14228,NBRC 14250,NBRC:14228,NBRC:14250,NCIB 11666,NCIB:11666,NCIMB 11666,NCIMB:11666,NRRL B-16932,NRRL:B-16932,culture-collection:NRRL:B:16932	yes	2	2	2
Streptomyces spiralis	ATCC 25664,ATCC:25664,DSM 43836,DSM:43836,IFO 14215,IFO:14215,JCM 3302,JCM:3302,KCC A-0302,KCC:A:0302,NBRC 14215,NBRC:14215,NRRL B-16922,NRRL:B-16922,VKM Ac-1311,VKM:Ac:1311,culture-collection:NRRL:B:16922	yes	1	1	1
Streptomyces spiroverticillatus	AS 4.1749,ATCC 19811,ATCC:19811,BCRC 13648,BCRC:13648,CBS 564.68,CBS:564.68,CCRC 13648,CCRC:13648,CGMCC:4.1749,DSM 40036,DSM:40036,IFO 12821,IFO:12821,IMET 42050,IMET:42050,ISP 5036,ISP:5036,JCM 4104,JCM 4609,JCM:4104,JCM:4609,NBRC 12821,NBRC 3728,NBRC 3931,NBRC:12821,NBRC:3728,NBRC:3931,NRRL B-2259,NRRL B-5483,NRRL-ISP 5036,NRRL-ISP:5036,NRRL:B-2259,NRRL:B-5483,RIA 1091,RIA 549,RIA:1091,RIA:549,UNIQEM 198,UNIQEM:198,VKM Ac-751,VKM:Ac:751,culture-collection:AS:4.1749,culture-collection:NRRL:B:2259,culture-collection:NRRL:B:5483	yes	1	1	1
Streptomyces spongiae	DSM 42031,DSM:42031,NBRC 106415,NBRC:106415,Sp080513SC-24	yes	1	1	1
Streptomyces spongiicola	CCTCC AA 2015018,CCTCC:AA 2015018,CCTCC:AA:2015018,CCTCCAA2015018,CCTCCAA:2015018,HNM0071,KCTC 39604,KCTC:39604	yes	2	1	1
Streptomyces sporangiiformans	CCTCC AA 2017028,CCTCC:AA2017028,DSM 105692,DSM:105692,NEAU-SSA,NEAU-SSA 1	yes	2	2	2
Streptomyces spororaveus	AS 4.1926,ATCC 43694,ATCC:43694,BCCM/LMG:20313,CGMCC:4.1926,DSM 41462,DSM:41462,IFO 15456,IFO:15456,INMI 101,INMI:101,JCM 6928,JCM:6928,LMG 20313,LMG:20313,NBRC 15456,NBRC:15456,NRRL B-16378,NRRL:B-16378,VKM Ac-318,VKM:Ac:318,culture-collection:AS:4.1926,culture-collection:NRRL:B:16378	yes	0	0	0
Streptomyces sporoverrucosus	ATCC 43695,ATCC:43695,DSM 41463,DSM:41463,IFO 15458,IFO:15458,INMI 15,INMI:15,JCM 6929,JCM:6929,NBRC 15458,NBRC:15458,NRRL B-16379,NRRL:B-16379,VKM Ac-321,VKM:Ac:321,culture-collection:NRRL:B:16379	yes	0	0	0
Streptomyces staurosporininus	BK179,KACC 20912,KACC:20912,NRRL B-24850,NRRL:B-24850,culture-collection:NRRL:B:24850	yes	0	0	0
Streptomyces stelliscabiei	CFBP 4521,CFBP:4521,CIP 107060,CIP 107126,CIP:107060,CIP:107126,DSM 41803,DSM:41803,ICMP 13715,ICMP:13715,NCPPB 4040,NCPPB:4040	yes	3	1	1
Streptomyces stramineus	CIP 105398,CIP:105398,DSM 41783,DSM:41783,IFO 16131,IFO:16131,JCM 10649,JCM:10649,NBRC 16131,NBRC:16131,NRRL 12292,NRRL:12292	yes	0	0	0
Streptomyces subflavus subsp. irumaensis	AM-3603,FERM-P 5619,FERM-P:5619	no	0	0	0
Streptomyces subrutilus	AS 4.1784,ATCC 27467,ATCC:27467,BCRC 11921,BCRC:11921,CBS 689.72,CBS:689.72,CCRC 11921,CCRC:11921,CGMCC:4.1784,DSM 40445,DSM:40445,IFM 1222,IFM:1222,IFO 13388,IFO:13388,ISP 5445,ISP:5445,JCM 4695,JCM 4834,JCM:4695,JCM:4834,KCTC 9045,KCTC:9045,NBRC 13388,NBRC:13388,NRRL B-12377,NRRL-ISP 5445,NRRL-ISP:5445,NRRL:B-12377,RIA 1349,RIA:1349,VKM Ac-1210,VKM:Ac:1210,culture-collection:AS:4.1784,culture-collection:NRRL:B:12377	yes	3	2	2
Streptomyces sudanensis	DSM 41923,DSM:41923,NRRL B-24575,NRRL:B-24575,SD 504,culture-collection:NRRL:B:24575	yes	0	0	0
Streptomyces sulfonofaciens	ATCC 31892,ATCC:31892,DSM 41679,DSM:41679,IFO 14260,IFO:14260,JCM 5069,JCM:5069,NBRC 14260,NBRC:14260,NRRL B-16438,NRRL:B-16438,SF-2103,culture-collection:NRRL:B:16438	yes	1	1	1
Streptomyces sulphureus	ATCC 27468,ATCC:27468,BCCM/LMG:19355,BCRC 13764,BCRC:13764,CBS 646.72,CBS:646.72,CCRC 13764,CCRC:13764,DSM 40104,DSM:40104,HUT 6080,HUT:6080,IFO 13345,IFO:13345,IMET 40623,IMET:40623,ISP 5104,ISP:5104,JCM 4085,JCM 4835,JCM:4085,JCM:4835,LMG 19355,LMG:19355,NBRC 13345,NBRC:13345,NRRL B-1627,NRRL B-2195,NRRL-ISP 5104,NRRL-ISP:5104,NRRL:B-1627,NRRL:B-2195,RIA 1306,RIA:1306,VKM Ac-1820,VKM:Ac:1820,culture-collection:NRRL:B:1627,culture-collection:NRRL:B:2195	yes	1	1	1
Streptomyces sundarbansensis	DSM 42019,DSM:42019,MS1/7,MTCC 10621,MTCC:10621	yes	0	0	0
Streptomyces sviceus	na	no	1	0	0
Streptomyces swartbergensis	BCCM/LMG:28849,HMC13,LMG 28849,LMG:28849,NRRL B-65294,NRRL:B-65294,culture-collection:NRRL:B:65294	yes	1	1	1
Streptomyces synnematoformans	CGMCC 4.2055,CGMCC:4.2055,DSM 41902,DSM:41902,JCM 15481,JCM:15481,S155	yes	0	0	0
Streptomyces syringium	BCCM/LMG:20320,DSM 41480,DSM 41502,DSM:41480,DSM:41502,IFO 15900,IFO:15900,JCM 9948,JCM:9948,LIA 0725,LIA:0725,LMG 20320,LMG:20320,NBRC 15900,NBRC:15900,VKM Ac-1230,VKM:Ac:1230	yes	0	0	0
Streptomyces tacrolimicus	ATCC 55098,ATCC:55098,CECT 7664,CECT:7664	yes	0	0	0
Streptomyces tanashiensis	AS 4.1924,ATCC 23967,ATCC:23967,BCRC 12641,BCRC:12641,CBS 165.64,CBS 950.68,CBS:165.64,CBS:950.68,CCRC 12641,CCRC:12641,CGMCC:4.1924,DSM 40195,DSM:40195,HUT 6070,HUT:6070,IFO 12919,IFO:12919,IMET 42939,IMET:42939,ISP 5195,ISP:5195,JCM 4086,JCM 4671,JCM:4086,JCM:4671,NBRC 12919,NBRC:12919,NRRL B-1692,NRRL-ISP 5195,NRRL-ISP:5195,NRRL:B-1692,RIA 1148,RIA:1148,VKM Ac-1892,VKM:Ac:1892,culture-collection:AS:4.1924,culture-collection:NRRL:B:1692	yes	1	1	1
